component,category,subcategory,baseline_date,Spring_flag,Winter_flag,projected_fiscal_year,projected_year_number,value,actual_value,GDP,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual,leg_change_pct_GDP,projection_error_pct_GDP
outlay,Total,Total,1984-02-01,True,False,1984,1,867.600,851.806,3949.175,0.258,867.858,16.052,1.884,0.007,0.406
outlay,Total,Total,1985-02-01,True,False,1985,1,949.658,946.344,4265.125,1.373,951.031,4.687,0.495,0.032,0.110
outlay,Total,Total,1986-02-01,True,False,1986,1,986.697,990.382,4526.250,-4.162,982.535,-7.847,-0.792,-0.092,-0.173
outlay,Total,Total,1987-02-01,True,False,1987,1,1009.838,1004.017,4767.650,3.156,1012.994,8.977,0.894,0.066,0.188
outlay,Total,Total,1988-03-01,True,False,1988,1,1059.306,1064.415,5138.550,0.054,1059.360,-5.055,-0.475,0.001,-0.098
outlay,Total,Total,1989-02-01,True,False,1989,1,1141.818,1143.743,5554.675,15.019,1156.837,13.094,1.145,0.270,0.236
outlay,Total,Total,1990-03-01,True,False,1990,1,1225.871,1252.993,5898.750,0.157,1226.028,-26.965,-2.152,0.003,-0.457
outlay,Total,Total,1991-03-01,True,False,1991,1,1401.585,1324.225,6093.175,3.491,1405.076,80.851,6.106,0.057,1.327
outlay,Total,Total,1992-03-01,True,False,1992,1,1455.399,1381.530,6416.250,-0.822,1454.577,73.047,5.287,-0.013,1.138
outlay,Total,Total,1993-03-01,True,False,1993,1,1443.462,1409.385,6775.325,3.644,1447.106,37.721,2.676,0.054,0.557
outlay,Total,Total,1994-04-01,True,False,1994,1,1478.283,1461.752,7176.850,0.261,1478.544,16.792,1.149,0.004,0.234
outlay,Total,Total,1995-04-01,True,False,1995,1,1529.861,1515.742,7560.425,-0.051,1529.810,14.068,0.928,-0.001,0.186
outlay,Total,Total,1996-05-01,True,False,1996,1,1572.249,1560.484,7951.325,1.049,1573.298,12.814,0.821,0.013,0.161
outlay,Total,Total,1997-03-01,True,False,1997,1,1621.973,1601.116,8451.025,0.878,1622.851,21.735,1.357,0.010,0.257
outlay,Total,Total,1998-03-01,True,False,1998,1,1672.009,1652.458,8930.800,1.074,1673.083,20.625,1.248,0.012,0.231
outlay,Total,Total,1999-04-01,True,False,1999,1,1704.055,1701.842,9479.625,3.712,1707.767,5.925,0.348,0.039,0.063
outlay,Total,Total,2000-04-01,True,False,2000,1,1765.734,1788.950,10117.075,23.140,1788.874,-0.076,-0.004,0.229,-0.001
outlay,Total,Total,2001-05-01,True,False,2001,1,1839.301,1862.846,10525.725,13.484,1852.785,-10.061,-0.540,0.128,-0.096
outlay,Total,Total,2002-03-01,True,False,2002,1,2000.727,2010.894,10828.875,16.004,2016.731,5.837,0.290,0.148,0.054
outlay,Total,Total,2003-03-01,True,False,2003,1,2137.321,2159.899,11278.750,45.716,2183.037,23.138,1.071,0.405,0.205
outlay,Total,Total,2004-03-01,True,False,2004,1,2294.798,2292.841,12028.425,0.594,2295.392,2.551,0.111,0.005,0.021
outlay,Total,Total,2005-03-01,True,False,2005,1,2422.070,2471.957,12839.950,34.962,2457.032,-14.925,-0.604,0.272,-0.116
outlay,Total,Total,2006-03-01,True,False,2006,1,2648.412,2655.050,13636.750,26.009,2674.421,19.371,0.730,0.191,0.142
outlay,Total,Total,2007-03-01,True,False,2007,1,2719.148,2728.686,14305.375,28.521,2747.669,18.983,0.696,0.199,0.133
outlay,Total,Total,2008-03-01,True,False,2008,1,2903.084,2982.544,14796.575,38.860,2941.944,-40.600,-1.361,0.263,-0.274
outlay,Total,Total,2009-03-01,True,False,2009,1,3562.335,3426.413,14467.300,31.381,3593.716,167.303,4.883,0.217,1.156
outlay,Total,Total,2010-03-01,True,False,2010,1,3524.403,3416.621,14884.400,20.903,3545.306,128.685,3.766,0.140,0.865
outlay,Total,Total,2011-03-01,True,False,2011,1,3618.389,3597.887,15466.525,2.830,3621.219,23.332,0.648,0.018,0.151
outlay,Total,Total,2012-03-01,True,False,2012,1,3617.463,3526.458,16109.425,2.445,3619.908,93.450,2.650,0.015,0.580
outlay,Total,Total,2013-05-01,True,False,2013,1,3567.344,3551.554,16687.775,8.080,3575.424,23.870,0.672,0.048,0.143
outlay,Total,Total,2014-04-01,True,False,2014,1,3606.171,3580.677,17428.100,0.729,3606.900,26.223,0.732,0.004,0.150
outlay,Total,Total,2015-03-01,True,False,2015,1,3702.826,3714.583,18164.250,8.498,3711.324,-3.259,-0.088,0.047,-0.018
outlay,Total,Total,2016-03-01,True,False,2016,1,3915.774,3866.934,18641.325,0.000,3915.774,48.840,1.263,0.000,0.262
outlay,Total,Total,2017-06-01,True,False,2017,1,4036.606,4010.207,19375.175,-0.200,4036.406,26.199,0.653,-0.001,0.135
outlay,Total,Total,2018-05-01,True,False,2018,1,4136.955,4118.474,20436.325,0.000,4136.955,18.481,0.449,0.000,0.090
outlay,Total,Total,2019-05-01,True,False,2019,1,4431.362,4466.134,21286.150,7.939,4439.301,-26.833,-0.601,0.037,-0.126
outlay,Total,Total,2020-03-01,True,False,2020,1,4709.799,6557.858,21320.225,1778.769,6488.568,-69.290,-1.057,8.343,-0.325
outlay,Total,Total,2021-07-01,True,False,2021,1,6849.791,6827.391,23004.125,0.000,6849.791,22.400,0.328,0.000,0.097
outlay,Total,Total,2022-05-01,True,False,2022,1,5877.542,5900.434,25517.575,1.558,5879.100,-21.334,-0.362,0.006,-0.084
outlay,Total,Total,2023-05-01,True,False,2023,1,6360.350,6473.921,27330.050,-3.404,6356.946,-116.975,-1.807,-0.012,-0.428
outlay,Total,Total,2024-06-01,True,False,2024,1,6811.248,6756.813,28828.175,0.001,6811.249,54.436,0.806,0.000,0.189
outlay,Total,Total,1984-02-01,True,False,1985,2,944.900,946.344,4265.125,14.108,959.008,12.664,1.338,0.331,0.297
outlay,Total,Total,1985-02-01,True,False,1986,2,1007.952,990.382,4526.250,-18.606,989.346,-1.036,-0.105,-0.411,-0.023
outlay,Total,Total,1986-02-01,True,False,1987,2,1026.669,1004.017,4767.650,-22.000,1004.669,0.652,0.065,-0.461,0.014
outlay,Total,Total,1987-02-01,True,False,1988,2,1071.135,1064.415,5138.550,-24.227,1046.908,-17.507,-1.645,-0.471,-0.341
outlay,Total,Total,1988-03-01,True,False,1989,2,1131.307,1143.743,5554.675,20.404,1151.711,7.968,0.697,0.367,0.143
outlay,Total,Total,1989-02-01,True,False,1990,2,1214.883,1252.993,5898.750,-7.068,1207.815,-45.178,-3.606,-0.120,-0.766
outlay,Total,Total,1990-03-01,True,False,1991,2,1298.482,1324.225,6093.175,-11.268,1287.214,-37.011,-2.795,-0.185,-0.607
outlay,Total,Total,1991-03-01,True,False,1992,2,1463.369,1381.530,6416.250,28.826,1492.195,110.665,8.010,0.449,1.725
outlay,Total,Total,1992-03-01,True,False,1993,2,1509.605,1409.385,6775.325,8.457,1518.062,108.677,7.711,0.125,1.604
outlay,Total,Total,1993-03-01,True,False,1994,2,1501.102,1461.752,7176.850,5.931,1507.033,45.281,3.098,0.083,0.631
outlay,Total,Total,1994-04-01,True,False,1995,2,1517.706,1515.742,7560.425,2.794,1520.500,4.758,0.314,0.037,0.063
outlay,Total,Total,1995-04-01,True,False,1996,2,1627.991,1560.484,7951.325,-16.335,1611.656,51.172,3.279,-0.205,0.644
outlay,Total,Total,1996-05-01,True,False,1997,2,1654.001,1601.116,8451.025,-12.557,1641.444,40.328,2.519,-0.149,0.477
outlay,Total,Total,1997-03-01,True,False,1998,2,1688.596,1652.458,8930.800,12.042,1700.638,48.180,2.916,0.135,0.539
outlay,Total,Total,1998-03-01,True,False,1999,2,1729.862,1701.842,9479.625,23.524,1753.386,51.544,3.029,0.248,0.544
outlay,Total,Total,1999-04-01,True,False,2000,2,1737.027,1788.950,10117.075,63.795,1800.822,11.872,0.664,0.631,0.117
outlay,Total,Total,2000-04-01,True,False,2001,2,1777.251,1862.846,10525.725,94.201,1871.452,8.606,0.462,0.895,0.082
outlay,Total,Total,2001-05-01,True,False,2002,2,1921.837,2010.894,10828.875,75.368,1997.205,-13.689,-0.681,0.696,-0.126
outlay,Total,Total,2002-03-01,True,False,2003,2,2079.591,2159.899,11278.750,112.990,2192.581,32.682,1.513,1.002,0.290
outlay,Total,Total,2003-03-01,True,False,2004,2,2224.050,2292.841,12028.425,97.330,2321.380,28.539,1.245,0.809,0.237
outlay,Total,Total,2004-03-01,True,False,2005,2,2412.841,2471.957,12839.950,37.728,2450.569,-21.388,-0.865,0.294,-0.167
outlay,Total,Total,2005-03-01,True,False,2006,2,2510.655,2655.050,13636.750,135.011,2645.666,-9.384,-0.353,0.990,-0.069
outlay,Total,Total,2006-03-01,True,False,2007,2,2726.184,2728.686,14305.375,83.103,2809.287,80.601,2.954,0.581,0.563
outlay,Total,Total,2007-03-01,True,False,2008,2,2833.139,2982.544,14796.575,150.692,2983.831,1.287,0.043,1.018,0.009
outlay,Total,Total,2008-03-01,True,False,2009,2,2999.739,3426.413,14467.300,465.454,3465.193,38.780,1.132,3.217,0.268
outlay,Total,Total,2009-03-01,True,False,2010,2,3447.041,3416.621,14884.400,147.106,3594.147,177.526,5.196,0.988,1.193
outlay,Total,Total,2010-03-01,True,False,2011,2,3655.303,3597.887,15466.525,135.425,3790.728,192.841,5.360,0.876,1.247
outlay,Total,Total,2011-03-01,True,False,2012,2,3631.452,3526.458,16109.425,29.703,3661.155,134.697,3.820,0.184,0.836
outlay,Total,Total,2012-03-01,True,False,2013,2,3573.376,3551.554,16687.775,61.119,3634.495,82.941,2.335,0.366,0.497
outlay,Total,Total,2013-05-01,True,False,2014,2,3595.225,3580.677,17428.100,53.064,3648.289,67.612,1.888,0.304,0.388
outlay,Total,Total,2014-04-01,True,False,2015,2,3769.249,3714.583,18164.250,16.640,3785.889,71.306,1.920,0.092,0.393
outlay,Total,Total,2015-03-01,True,False,2016,2,3922.303,3866.934,18641.325,49.039,3971.342,104.408,2.700,0.263,0.560
outlay,Total,Total,2016-03-01,True,False,2017,2,4055.138,4010.207,19375.175,18.769,4073.907,63.700,1.588,0.097,0.329
outlay,Total,Total,2017-06-01,True,False,2018,2,4092.543,4118.474,20436.325,107.752,4200.295,81.821,1.987,0.527,0.400
outlay,Total,Total,2018-05-01,True,False,2019,2,4460.701,4466.134,21286.150,0.071,4460.772,-5.362,-0.120,0.000,-0.025
outlay,Total,Total,2019-05-01,True,False,2020,2,4571.052,6557.858,21320.225,1904.531,6475.583,-82.275,-1.255,8.933,-0.386
outlay,Total,Total,2020-03-01,True,False,2021,2,4815.893,6827.391,23004.125,2201.714,7017.607,190.216,2.786,9.571,0.827
outlay,Total,Total,2021-07-01,True,False,2022,2,5538.223,5900.434,25517.575,56.957,5595.180,-305.254,-5.173,0.223,-1.196
outlay,Total,Total,2022-05-01,True,False,2023,2,5869.705,6473.921,27330.050,39.552,5909.257,-564.664,-8.722,0.145,-2.066
outlay,Total,Total,2023-05-01,True,False,2024,2,6409.752,6756.813,28828.175,-30.546,6379.206,-377.607,-5.589,-0.106,-1.310
outlay,Total,Total,1984-02-01,True,False,1986,3,1026.000,990.382,4526.250,-20.479,1005.521,15.139,1.529,-0.452,0.334
outlay,Total,Total,1985-02-01,True,False,1987,3,1095.254,1004.017,4767.650,-72.294,1022.960,18.943,1.887,-1.516,0.397
outlay,Total,Total,1986-02-01,True,False,1988,3,1087.716,1064.415,5138.550,-35.527,1052.189,-12.226,-1.149,-0.691,-0.238
outlay,Total,Total,1987-02-01,True,False,1989,3,1126.320,1143.743,5554.675,-3.160,1123.160,-20.583,-1.800,-0.057,-0.371
outlay,Total,Total,1988-03-01,True,False,1990,3,1206.018,1252.993,5898.750,-2.470,1203.548,-49.445,-3.946,-0.042,-0.838
outlay,Total,Total,1989-02-01,True,False,1991,3,1286.593,1324.225,6093.175,-18.865,1267.728,-56.497,-4.266,-0.310,-0.927
outlay,Total,Total,1990-03-01,True,False,1992,3,1328.163,1381.530,6416.250,-4.320,1323.843,-57.687,-4.176,-0.067,-0.899
outlay,Total,Total,1991-03-01,True,False,1993,3,1471.783,1409.385,6775.325,14.746,1486.529,77.144,5.474,0.218,1.139
outlay,Total,Total,1992-03-01,True,False,1994,3,1528.804,1461.752,7176.850,8.357,1537.161,75.409,5.159,0.116,1.051
outlay,Total,Total,1993-03-01,True,False,1995,3,1574.126,1515.742,7560.425,-2.401,1571.725,55.983,3.693,-0.032,0.740
outlay,Total,Total,1994-04-01,True,False,1996,3,1590.605,1560.484,7951.325,-15.373,1575.232,14.748,0.945,-0.193,0.185
outlay,Total,Total,1995-04-01,True,False,1997,3,1705.560,1601.116,8451.025,-19.432,1686.128,85.012,5.310,-0.230,1.006
outlay,Total,Total,1996-05-01,True,False,1998,3,1737.368,1652.458,8930.800,3.704,1741.072,88.614,5.363,0.041,0.992
outlay,Total,Total,1997-03-01,True,False,1999,3,1781.902,1701.842,9479.625,13.693,1795.595,93.753,5.509,0.144,0.989
outlay,Total,Total,1998-03-01,True,False,2000,3,1782.299,1788.950,10117.075,76.016,1858.315,69.365,3.877,0.751,0.686
outlay,Total,Total,1999-04-01,True,False,2001,3,1774.699,1862.846,10525.725,108.529,1883.228,20.382,1.094,1.031,0.194
outlay,Total,Total,2000-04-01,True,False,2002,3,1799.254,2010.894,10828.875,214.727,2013.981,3.087,0.154,1.983,0.029
outlay,Total,Total,2001-05-01,True,False,2003,3,1984.584,2159.899,11278.750,184.950,2169.534,9.635,0.446,1.640,0.085
outlay,Total,Total,2002-03-01,True,False,2004,3,2148.033,2292.841,12028.425,170.928,2318.961,26.120,1.139,1.421,0.217
outlay,Total,Total,2003-03-01,True,False,2005,3,2327.637,2471.957,12839.950,155.442,2483.079,11.122,0.450,1.211,0.087
outlay,Total,Total,2004-03-01,True,False,2006,3,2527.890,2655.050,13636.750,99.629,2627.519,-27.531,-1.037,0.731,-0.202
outlay,Total,Total,2005-03-01,True,False,2007,3,2625.261,2728.686,14305.375,172.087,2797.348,68.662,2.516,1.203,0.480
outlay,Total,Total,2006-03-01,True,False,2008,3,2848.562,2982.544,14796.575,188.360,3036.922,54.378,1.823,1.273,0.368
outlay,Total,Total,2007-03-01,True,False,2009,3,2943.559,3426.413,14467.300,556.071,3499.630,73.217,2.137,3.844,0.506
outlay,Total,Total,2008-03-01,True,False,2010,3,3129.518,3416.621,14884.400,470.416,3599.934,183.313,5.365,3.160,1.232
outlay,Total,Total,2009-03-01,True,False,2011,3,3454.971,3597.887,15466.525,242.437,3697.408,99.521,2.766,1.567,0.643
outlay,Total,Total,2010-03-01,True,False,2012,3,3598.183,3526.458,16109.425,125.431,3723.614,197.156,5.591,0.779,1.224
outlay,Total,Total,2011-03-01,True,False,2013,3,3773.732,3551.554,16687.775,-45.182,3728.550,176.996,4.984,-0.271,1.061
outlay,Total,Total,2012-03-01,True,False,2014,3,3662.454,3580.677,17428.100,97.381,3759.835,179.158,5.003,0.559,1.028
outlay,Total,Total,2013-05-01,True,False,2015,3,3771.531,3714.583,18164.250,41.700,3813.231,98.648,2.656,0.230,0.543
outlay,Total,Total,2014-04-01,True,False,2016,3,4007.379,3866.934,18641.325,43.261,4050.640,183.706,4.751,0.232,0.985
outlay,Total,Total,2015-03-01,True,False,2017,3,4052.834,4010.207,19375.175,72.730,4125.564,115.357,2.877,0.375,0.595
outlay,Total,Total,2016-03-01,True,False,2018,3,4192.004,4118.474,20436.325,134.590,4326.594,208.120,5.053,0.659,1.018
outlay,Total,Total,2017-06-01,True,False,2019,3,4374.487,4466.134,21286.150,174.147,4548.634,82.500,1.847,0.818,0.388
outlay,Total,Total,2018-05-01,True,False,2020,3,4681.367,6557.858,21320.225,1873.039,6554.406,-3.452,-0.053,8.785,-0.016
outlay,Total,Total,2019-05-01,True,False,2021,3,4793.904,6827.391,23004.125,2366.142,7160.046,332.655,4.872,10.286,1.446
outlay,Total,Total,2020-03-01,True,False,2022,3,5114.612,5900.434,25517.575,646.771,5761.383,-139.051,-2.357,2.535,-0.545
outlay,Total,Total,2021-07-01,True,False,2023,3,5379.411,6473.921,27330.050,140.797,5520.208,-953.713,-14.732,0.515,-3.490
outlay,Total,Total,2022-05-01,True,False,2024,3,5973.352,6756.813,28828.175,124.807,6098.159,-658.654,-9.748,0.433,-2.285
outlay,Total,Total,1984-02-01,True,False,1987,4,1124.100,1004.017,4767.650,-77.997,1046.103,42.086,4.192,-1.636,0.883
outlay,Total,Total,1985-02-01,True,False,1988,4,1191.247,1064.415,5138.550,-113.896,1077.351,12.936,1.215,-2.217,0.252
outlay,Total,Total,1986-02-01,True,False,1989,4,1135.215,1143.743,5554.675,-15.957,1119.258,-24.485,-2.141,-0.287,-0.441
outlay,Total,Total,1987-02-01,True,False,1990,4,1187.758,1252.993,5898.750,-32.104,1155.654,-97.339,-7.769,-0.544,-1.650
outlay,Total,Total,1988-03-01,True,False,1991,4,1270.865,1324.225,6093.175,-13.051,1257.814,-66.411,-5.015,-0.214,-1.090
outlay,Total,Total,1989-02-01,True,False,1992,4,1348.214,1381.530,6416.250,-12.920,1335.294,-46.236,-3.347,-0.201,-0.721
outlay,Total,Total,1990-03-01,True,False,1993,4,1408.825,1409.385,6775.325,-39.330,1369.495,-39.890,-2.830,-0.580,-0.589
outlay,Total,Total,1991-03-01,True,False,1994,4,1500.662,1461.752,7176.850,12.606,1513.268,51.516,3.524,0.176,0.718
outlay,Total,Total,1992-03-01,True,False,1995,4,1542.811,1515.742,7560.425,-1.875,1540.936,25.194,1.662,-0.025,0.333
outlay,Total,Total,1993-03-01,True,False,1996,4,1645.392,1560.484,7951.325,-43.765,1601.627,41.143,2.637,-0.550,0.517
outlay,Total,Total,1994-04-01,True,False,1997,4,1670.312,1601.116,8451.025,-19.306,1651.006,49.890,3.116,-0.228,0.590
outlay,Total,Total,1995-04-01,True,False,1998,4,1778.363,1652.458,8930.800,2.452,1780.815,128.357,7.768,0.027,1.437
outlay,Total,Total,1996-05-01,True,False,1999,4,1828.185,1701.842,9479.625,3.376,1831.561,129.719,7.622,0.036,1.368
outlay,Total,Total,1997-03-01,True,False,2000,4,1877.300,1788.950,10117.075,32.737,1910.037,121.087,6.769,0.324,1.197
outlay,Total,Total,1998-03-01,True,False,2001,4,1833.432,1862.846,10525.725,115.287,1948.719,85.873,4.610,1.095,0.816
outlay,Total,Total,1999-04-01,True,False,2002,4,1802.198,2010.894,10828.875,226.715,2028.913,18.019,0.896,2.094,0.166
outlay,Total,Total,2000-04-01,True,False,2003,4,1852.916,2159.899,11278.750,338.801,2191.717,31.818,1.473,3.004,0.282
outlay,Total,Total,2001-05-01,True,False,2004,4,2053.507,2292.841,12028.425,254.942,2308.449,15.608,0.681,2.119,0.130
outlay,Total,Total,2002-03-01,True,False,2005,4,2230.748,2471.957,12839.950,237.210,2467.958,-3.999,-0.162,1.847,-0.031
outlay,Total,Total,2003-03-01,True,False,2006,4,2417.172,2655.050,13636.750,249.630,2666.802,11.752,0.443,1.831,0.086
outlay,Total,Total,2004-03-01,True,False,2007,4,2658.708,2728.686,14305.375,110.319,2769.027,40.341,1.478,0.771,0.282
outlay,Total,Total,2005-03-01,True,False,2008,4,2754.037,2982.544,14796.575,271.054,3025.091,42.547,1.427,1.832,0.288
outlay,Total,Total,2006-03-01,True,False,2009,4,2967.696,3426.413,14467.300,581.520,3549.216,122.803,3.584,4.020,0.849
outlay,Total,Total,2007-03-01,True,False,2010,4,3057.894,3416.621,14884.400,561.938,3619.832,203.211,5.948,3.775,1.365
outlay,Total,Total,2008-03-01,True,False,2011,4,3293.926,3597.887,15466.525,464.140,3758.066,160.179,4.452,3.001,1.036
outlay,Total,Total,2009-03-01,True,False,2012,4,3401.145,3526.458,16109.425,238.240,3639.385,112.927,3.202,1.479,0.701
outlay,Total,Total,2010-03-01,True,False,2013,4,3737.785,3551.554,16687.775,5.076,3742.861,191.307,5.387,0.030,1.146
outlay,Total,Total,2011-03-01,True,False,2014,4,3950.646,3580.677,17428.100,-90.687,3859.959,279.282,7.800,-0.520,1.602
outlay,Total,Total,2012-03-01,True,False,2015,4,3841.847,3714.583,18164.250,74.325,3916.172,201.589,5.427,0.409,1.110
outlay,Total,Total,2013-05-01,True,False,2016,4,4033.455,3866.934,18641.325,35.418,4068.873,201.939,5.222,0.190,1.083
outlay,Total,Total,2014-04-01,True,False,2017,4,4194.330,4010.207,19375.175,65.692,4260.022,249.815,6.229,0.339,1.289
outlay,Total,Total,2015-03-01,True,False,2018,4,4214.002,4118.474,20436.325,167.213,4381.215,262.741,6.380,0.818,1.286
outlay,Total,Total,2016-03-01,True,False,2019,4,4480.726,4466.134,21286.150,210.763,4691.489,225.355,5.046,0.990,1.059
outlay,Total,Total,2017-06-01,True,False,2020,4,4627.294,6557.858,21320.225,1992.756,6620.050,62.192,0.948,9.347,0.292
outlay,Total,Total,2018-05-01,True,False,2021,4,4946.876,6827.391,23004.125,2320.844,7267.720,440.329,6.449,10.089,1.914
outlay,Total,Total,2019-05-01,True,False,2022,4,5117.400,5900.434,25517.575,832.837,5950.237,49.803,0.844,3.264,0.195
outlay,Total,Total,2020-03-01,True,False,2023,4,5315.897,6473.921,27330.050,417.910,5733.807,-740.114,-11.432,1.529,-2.708
outlay,Total,Total,2021-07-01,True,False,2024,4,5415.199,6756.813,28828.175,294.967,5710.166,-1046.647,-15.490,1.023,-3.631
outlay,Total,Total,1984-02-01,True,False,1988,5,1232.700,1064.415,5138.550,-122.386,1110.314,45.899,4.312,-2.382,0.893
outlay,Total,Total,1985-02-01,True,False,1989,5,1284.085,1143.743,5554.675,-127.823,1156.262,12.519,1.095,-2.301,0.225
outlay,Total,Total,1986-02-01,True,False,1990,5,1188.822,1252.993,5898.750,-45.335,1143.487,-109.506,-8.740,-0.769,-1.856
outlay,Total,Total,1987-02-01,True,False,1991,5,1248.410,1324.225,6093.175,-48.169,1200.241,-123.984,-9.363,-0.791,-2.035
outlay,Total,Total,1988-03-01,True,False,1992,5,1334.543,1381.530,6416.250,-7.127,1327.416,-54.114,-3.917,-0.111,-0.843
outlay,Total,Total,1989-02-01,True,False,1993,5,1415.657,1409.385,6775.325,-36.813,1378.844,-30.541,-2.167,-0.543,-0.451
outlay,Total,Total,1990-03-01,True,False,1994,5,1476.005,1461.752,7176.850,-79.500,1396.505,-65.247,-4.464,-1.108,-0.909
outlay,Total,Total,1991-03-01,True,False,1995,5,1484.173,1515.742,7560.425,2.200,1486.373,-29.369,-1.938,0.029,-0.388
outlay,Total,Total,1992-03-01,True,False,1996,5,1601.976,1560.484,7951.325,-43.204,1558.772,-1.712,-0.110,-0.543,-0.022
outlay,Total,Total,1993-03-01,True,False,1997,5,1734.346,1601.116,8451.025,-75.814,1658.532,57.416,3.586,-0.897,0.679
outlay,Total,Total,1994-04-01,True,False,1998,5,1743.140,1652.458,8930.800,2.428,1745.568,93.110,5.635,0.027,1.043
outlay,Total,Total,1995-04-01,True,False,1999,5,1884.596,1701.842,9479.625,1.014,1885.610,183.768,10.798,0.011,1.939
outlay,Total,Total,1996-05-01,True,False,2000,5,1925.053,1788.950,10117.075,21.162,1946.215,157.265,8.791,0.209,1.554
outlay,Total,Total,1997-03-01,True,False,2001,5,1947.257,1862.846,10525.725,67.530,2014.787,151.941,8.156,0.642,1.444
outlay,Total,Total,1998-03-01,True,False,2002,5,1863.016,2010.894,10828.875,233.810,2096.826,85.932,4.273,2.159,0.794
outlay,Total,Total,1999-04-01,True,False,2003,5,1878.018,2159.899,11278.750,349.104,2227.122,67.223,3.112,3.095,0.596
outlay,Total,Total,2000-04-01,True,False,2004,5,1914.757,2292.841,12028.425,420.650,2335.407,42.566,1.856,3.497,0.354
outlay,Total,Total,2001-05-01,True,False,2005,5,2133.080,2471.957,12839.950,332.132,2465.212,-6.745,-0.273,2.587,-0.053
outlay,Total,Total,2002-03-01,True,False,2006,5,2312.277,2655.050,13636.750,332.315,2644.592,-10.458,-0.394,2.437,-0.077
outlay,Total,Total,2003-03-01,True,False,2007,5,2513.064,2728.686,14305.375,289.660,2802.724,74.038,2.713,2.025,0.518
outlay,Total,Total,2004-03-01,True,False,2008,5,2790.535,2982.544,14796.575,201.731,2992.266,9.722,0.326,1.363,0.066
outlay,Total,Total,2005-03-01,True,False,2009,5,2881.061,3426.413,14467.300,650.181,3531.242,104.829,3.059,4.494,0.725
outlay,Total,Total,2006-03-01,True,False,2010,5,3098.857,3416.621,14884.400,581.995,3680.852,264.231,7.734,3.910,1.775
outlay,Total,Total,2007-03-01,True,False,2011,5,3201.737,3597.887,15466.525,561.063,3762.800,164.913,4.584,3.628,1.066
outlay,Total,Total,2008-03-01,True,False,2012,5,3358.386,3526.458,16109.425,386.243,3744.629,218.171,6.187,2.398,1.354
outlay,Total,Total,2009-03-01,True,False,2013,5,3567.400,3551.554,16687.775,123.079,3690.479,138.925,3.912,0.738,0.832
outlay,Total,Total,2010-03-01,True,False,2014,5,3924.960,3580.677,17428.100,-48.960,3876.000,295.323,8.248,-0.281,1.695
outlay,Total,Total,2011-03-01,True,False,2015,5,4177.150,3714.583,18164.250,-148.243,4028.907,314.324,8.462,-0.816,1.730
outlay,Total,Total,2012-03-01,True,False,2016,5,4093.600,3866.934,18641.325,85.672,4179.272,312.338,8.077,0.460,1.676
outlay,Total,Total,2013-05-01,True,False,2017,5,4257.876,4010.207,19375.175,33.903,4291.779,281.572,7.021,0.175,1.453
outlay,Total,Total,2014-04-01,True,False,2018,5,4388.765,4118.474,20436.325,155.594,4544.359,425.885,10.341,0.761,2.084
outlay,Total,Total,2015-03-01,True,False,2019,5,4479.408,4466.134,21286.150,254.616,4734.024,267.890,5.998,1.196,1.259
outlay,Total,Total,2016-03-01,True,False,2020,5,4727.795,6557.858,21320.225,2028.494,6756.289,198.431,3.026,9.514,0.931
outlay,Total,Total,2017-06-01,True,False,2021,5,4890.590,6827.391,23004.125,2396.202,7286.792,459.401,6.729,10.416,1.997
outlay,Total,Total,2018-05-01,True,False,2022,5,5288.752,5900.434,25517.575,769.800,6058.552,158.118,2.680,3.017,0.620
outlay,Total,Total,2019-05-01,True,False,2023,5,5318.032,6473.921,27330.050,615.454,5933.486,-540.435,-8.348,2.252,-1.977
outlay,Total,Total,2020-03-01,True,False,2024,5,5519.118,6756.813,28828.175,450.361,5969.479,-787.334,-11.652,1.562,-2.731
outlay,Total,Total,1984-02-01,True,False,1989,6,1338.700,1143.743,5554.675,-142.650,1196.050,52.307,4.573,-2.568,0.942
outlay,Total,Total,1985-02-01,True,False,1990,6,1389.707,1252.993,5898.750,-194.508,1195.199,-57.794,-4.612,-3.297,-0.980
outlay,Total,Total,1986-02-01,True,False,1991,6,1249.776,1324.225,6093.175,-63.671,1186.105,-138.120,-10.430,-1.045,-2.267
outlay,Total,Total,1987-02-01,True,False,1992,6,1306.424,1381.530,6416.250,-49.279,1257.145,-124.385,-9.003,-0.768,-1.939
outlay,Total,Total,1988-03-01,True,False,1993,6,1399.875,1409.385,6775.325,-31.449,1368.426,-40.959,-2.906,-0.464,-0.605
outlay,Total,Total,1989-02-01,True,False,1994,6,1488.675,1461.752,7176.850,-89.291,1399.384,-62.368,-4.267,-1.244,-0.869
outlay,Total,Total,1990-03-01,True,False,1995,6,1548.090,1515.742,7560.425,-118.191,1429.899,-85.843,-5.663,-1.563,-1.135
outlay,Total,Total,1991-03-01,True,False,1996,6,1561.159,1560.484,7951.325,-39.658,1521.501,-38.983,-2.498,-0.499,-0.490
outlay,Total,Total,1992-03-01,True,False,1997,6,1726.362,1601.116,8451.025,-75.708,1650.654,49.538,3.094,-0.896,0.586
outlay,Total,Total,1993-03-01,True,False,1998,6,1840.174,1652.458,8930.800,-81.589,1758.585,106.127,6.422,-0.914,1.188
outlay,Total,Total,1994-04-01,True,False,1999,6,1842.612,1701.842,9479.625,0.863,1843.475,141.633,8.322,0.009,1.494
