component,category,subcategory,baseline_date,Spring_flag,Winter_flag,projected_fiscal_year,projected_year_number,value
revenue,Corporate Income Taxes,Corporate Income Taxes,1982-09-01,FALSE,FALSE,1985,4,67
revenue,Payroll Taxes,Payroll Taxes,1982-09-01,FALSE,FALSE,1982,1,202
revenue,Payroll Taxes,Payroll Taxes,1982-09-01,FALSE,FALSE,1983,2,217
revenue,Payroll Taxes,Payroll Taxes,1982-09-01,FALSE,FALSE,1984,3,240
revenue,Payroll Taxes,Payroll Taxes,1982-09-01,FALSE,FALSE,1985,4,271
revenue,Excise Taxes,Excise Taxes,1982-09-01,FALSE,FALSE,1982,1,38
revenue,Excise Taxes,Excise Taxes,1982-09-01,FALSE,FALSE,1983,2,38
revenue,Excise Taxes,Excise Taxes,1982-09-01,FALSE,FALSE,1984,3,40
revenue,Excise Taxes,Excise Taxes,1982-09-01,FALSE,FALSE,1985,4,40
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-09-01,FALSE,FALSE,1982,1,8
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-09-01,FALSE,FALSE,1983,2,6
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-09-01,FALSE,FALSE,1984,3,6
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1982-09-01,FALSE,FALSE,1985,4,5
revenue,Customs Duties,Customs Duties,1982-09-01,FALSE,FALSE,1982,1,9
revenue,Customs Duties,Customs Duties,1982-09-01,FALSE,FALSE,1983,2,10
revenue,Customs Duties,Customs Duties,1982-09-01,FALSE,FALSE,1984,3,10
revenue,Customs Duties,Customs Duties,1982-09-01,FALSE,FALSE,1985,4,11
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1982-09-01,FALSE,FALSE,1982,1,16
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1982-09-01,FALSE,FALSE,1983,2,17
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1982-09-01,FALSE,FALSE,1984,3,17
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1982-09-01,FALSE,FALSE,1985,4,16
revenue,Total,Total,1983-02-01,FALSE,TRUE,1982,0,617.766
revenue,Total,Total,1983-02-01,FALSE,TRUE,1983,1,606
revenue,Total,Total,1983-02-01,FALSE,TRUE,1984,2,653
revenue,Total,Total,1983-02-01,FALSE,TRUE,1985,3,715
revenue,Total,Total,1983-02-01,FALSE,TRUE,1986,4,768
