outlay_category,outlay_subcategory,changes_baseline_date,baseline_name,change_category,projected_fiscal_year,changes_projected_outlay
Total,Total,1984-08-01,August 1984 Baseline,Economic,1984,0.597
Total,Total,1984-08-01,August 1984 Baseline,Economic,1985,6.634
Total,Total,1984-08-01,August 1984 Baseline,Economic,1986,8.284
Total,Total,1984-08-01,August 1984 Baseline,Economic,1987,7.924
Total,Total,1984-08-01,August 1984 Baseline,Economic,1988,12.194
Total,Total,1984-08-01,August 1984 Baseline,Economic,1989,14.658
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1984,0.258
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1985,-3.265
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1986,-5.273
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1987,-8.703
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1988,-9.590
Total,Total,1984-08-01,August 1984 Baseline,Legislative,1989,-11.627
Total,Total,1985-01-01,January 1985 Baseline,Economic,1985,-4.700
Total,Total,1985-01-01,January 1985 Baseline,Economic,1986,-7.900
Total,Total,1985-01-01,January 1985 Baseline,Economic,1987,-9.800
Total,Total,1985-01-01,January 1985 Baseline,Economic,1988,-16.900
Total,Total,1985-01-01,January 1985 Baseline,Economic,1989,-21.800
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1985,16.000
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1986,3.400
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1987,3.000
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1988,1.100
Total,Total,1985-01-01,January 1985 Baseline,Legislative,1989,-3.200
Total,Total,1985-08-01,August 1985 Baseline,Economic,1985,-1.138
Total,Total,1985-08-01,August 1985 Baseline,Economic,1986,-7.973
Total,Total,1985-08-01,August 1985 Baseline,Economic,1987,-11.984
Total,Total,1985-08-01,August 1985 Baseline,Economic,1988,-15.907
Total,Total,1985-08-01,August 1985 Baseline,Economic,1989,-18.900
Total,Total,1985-08-01,August 1985 Baseline,Economic,1990,-22.615
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1985,1.373
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1986,1.656
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1987,0.406
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1988,0.431
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1989,0.434
Total,Total,1985-08-01,August 1985 Baseline,Legislative,1990,0.427
Total,Total,1986-01-01,January 1986 Baseline,Economic,1985,0.000
Total,Total,1986-01-01,January 1986 Baseline,Economic,1986,-1.300
Total,Total,1986-01-01,January 1986 Baseline,Economic,1987,-9.200
Total,Total,1986-01-01,January 1986 Baseline,Economic,1988,-14.600
Total,Total,1986-01-01,January 1986 Baseline,Economic,1989,-22.400
Total,Total,1986-01-01,January 1986 Baseline,Economic,1990,-32.300
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1985,0.000
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1986,-16.100
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1987,-50.700
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1988,-78.800
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1989,-112.300
Total,Total,1986-01-01,January 1986 Baseline,Legislative,1990,-149.600
Total,Total,1986-08-01,August 1986 Baseline,Economic,1986,0.766
Total,Total,1986-08-01,August 1986 Baseline,Economic,1987,-12.192
Total,Total,1986-08-01,August 1986 Baseline,Economic,1988,-19.220
Total,Total,1986-08-01,August 1986 Baseline,Economic,1989,-20.381
Total,Total,1986-08-01,August 1986 Baseline,Economic,1990,-24.230
Total,Total,1986-08-01,August 1986 Baseline,Economic,1991,-29.487
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1986,-4.162
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1987,-9.756
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1988,-7.700
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1989,-9.997
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1990,-12.731
Total,Total,1986-08-01,August 1986 Baseline,Legislative,1991,-13.602
Total,Total,1987-01-01,January 1987 Baseline,Economic,1987,-3.800
Total,Total,1987-01-01,January 1987 Baseline,Economic,1988,-6.800
Total,Total,1987-01-01,January 1987 Baseline,Economic,1989,-6.200
Total,Total,1987-01-01,January 1987 Baseline,Economic,1990,-2.600
Total,Total,1987-01-01,January 1987 Baseline,Economic,1991,3.200
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1987,-15.400
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1988,-3.600
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1989,-2.800
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1990,-0.500
Total,Total,1987-01-01,January 1987 Baseline,Legislative,1991,-1.900
Total,Total,1987-08-01,August 1987 Baseline,Economic,1987,-0.894
Total,Total,1987-08-01,August 1987 Baseline,Economic,1988,11.284
Total,Total,1987-08-01,August 1987 Baseline,Economic,1989,18.695
Total,Total,1987-08-01,August 1987 Baseline,Economic,1990,24.484
Total,Total,1987-08-01,August 1987 Baseline,Economic,1991,31.278
Total,Total,1987-08-01,August 1987 Baseline,Economic,1992,38.323
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1987,3.156
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1988,1.942
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1989,2.175
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1990,2.249
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1991,2.459
Total,Total,1987-08-01,August 1987 Baseline,Legislative,1992,2.239
Total,Total,1988-01-01,January 1988 Baseline,Economic,1988,1.223
Total,Total,1988-01-01,January 1988 Baseline,Economic,1989,8.132
Total,Total,1988-01-01,January 1988 Baseline,Economic,1990,20.409
Total,Total,1988-01-01,January 1988 Baseline,Economic,1991,27.105
Total,Total,1988-01-01,January 1988 Baseline,Economic,1992,31.000
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1988,-26.223
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1989,-25.739
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1990,-31.883
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1991,-37.577
Total,Total,1988-01-01,January 1988 Baseline,Legislative,1992,-44.391
Total,Total,1988-08-01,August 1988 Baseline,Economic,1988,-2.534
Total,Total,1988-08-01,August 1988 Baseline,Economic,1989,-6.474
Total,Total,1988-08-01,August 1988 Baseline,Economic,1990,-10.058
Total,Total,1988-08-01,August 1988 Baseline,Economic,1991,-13.537
Total,Total,1988-08-01,August 1988 Baseline,Economic,1992,-14.675
Total,Total,1988-08-01,August 1988 Baseline,Economic,1993,-14.297
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1988,0.054
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1989,5.498
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1990,3.367
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1991,4.718
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1992,5.451
Total,Total,1988-08-01,August 1988 Baseline,Legislative,1993,6.550
Total,Total,1989-01-01,January 1989 Baseline,Economic,1989,4.607
Total,Total,1989-01-01,January 1989 Baseline,Economic,1990,3.633
Total,Total,1989-01-01,January 1989 Baseline,Economic,1991,5.106
Total,Total,1989-01-01,January 1989 Baseline,Economic,1992,5.908
Total,Total,1989-01-01,January 1989 Baseline,Economic,1993,5.305
Total,Total,1989-01-01,January 1989 Baseline,Economic,1994,3.227
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1989,-0.113
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1990,1.231
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1991,1.096
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1992,0.342
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1993,-1.186
Total,Total,1989-01-01,January 1989 Baseline,Legislative,1994,-5.326
Total,Total,1989-03-01,March 1989 Baseline,Economic,1989,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1990,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1991,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1992,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1993,0.000
Total,Total,1989-03-01,March 1989 Baseline,Economic,1994,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1989,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1990,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1991,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1992,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1993,0.000
Total,Total,1989-03-01,March 1989 Baseline,Legislative,1994,0.000
Total,Total,1989-08-01,August 1989 Baseline,Economic,1989,-0.188
Total,Total,1989-08-01,August 1989 Baseline,Economic,1990,-1.594
Total,Total,1989-08-01,August 1989 Baseline,Economic,1991,-3.995
Total,Total,1989-08-01,August 1989 Baseline,Economic,1992,-3.891
Total,Total,1989-08-01,August 1989 Baseline,Economic,1993,-1.822
Total,Total,1989-08-01,August 1989 Baseline,Economic,1994,1.271
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1989,15.019
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1990,6.109
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1991,-0.378
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1992,1.055
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1993,12.637
Total,Total,1989-08-01,August 1989 Baseline,Legislative,1994,2.738
Total,Total,1990-01-01,January 1990 Baseline,Economic,1990,-3.388
Total,Total,1990-01-01,January 1990 Baseline,Economic,1991,-8.145
Total,Total,1990-01-01,January 1990 Baseline,Economic,1992,-10.473
Total,Total,1990-01-01,January 1990 Baseline,Economic,1993,-13.949
Total,Total,1990-01-01,January 1990 Baseline,Economic,1994,-18.780
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1990,-13.334
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1991,-7.219
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1992,-9.655
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1993,-10.120
Total,Total,1990-01-01,January 1990 Baseline,Legislative,1994,-12.529
Total,Total,1990-03-01,March 1990 Baseline,Economic,1990,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1991,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1992,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1993,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1994,0.000
Total,Total,1990-03-01,March 1990 Baseline,Economic,1995,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1990,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1991,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1992,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1993,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1994,0.000
Total,Total,1990-03-01,March 1990 Baseline,Legislative,1995,0.000
Total,Total,1990-08-01,August 1990 Baseline,Economic,1990,2.416
Total,Total,1990-08-01,August 1990 Baseline,Economic,1991,5.944
Total,Total,1990-08-01,August 1990 Baseline,Economic,1992,3.777
Total,Total,1990-08-01,August 1990 Baseline,Economic,1993,-0.183
Total,Total,1990-08-01,August 1990 Baseline,Economic,1994,-4.471
Total,Total,1990-08-01,August 1990 Baseline,Economic,1995,-9.704
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1990,0.157
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1991,0.710
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1992,0.454
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1993,0.394
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1994,0.336
Total,Total,1990-08-01,August 1990 Baseline,Legislative,1995,0.447
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1991,10.678
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1992,16.977
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1993,24.349
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1994,30.520
Total,Total,1991-01-01,Capped January 1991 Baseline,Economic,1995,35.910
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1991,-15.469
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1992,-33.600
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1993,-54.470
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1994,-92.442
Total,Total,1991-01-01,Capped January 1991 Baseline,Legislative,1995,-120.838
Total,Total,1991-03-01,March 1991 Baseline,Economic,1991,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1992,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1993,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1994,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1995,0.000
Total,Total,1991-03-01,March 1991 Baseline,Economic,1996,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1991,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1992,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1993,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1994,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1995,0.000
Total,Total,1991-03-01,March 1991 Baseline,Legislative,1996,0.000
Total,Total,1991-08-01,August 1991 Baseline,Economic,1991,-2.629
Total,Total,1991-08-01,August 1991 Baseline,Economic,1992,-4.955
Total,Total,1991-08-01,August 1991 Baseline,Economic,1993,-0.372
Total,Total,1991-08-01,August 1991 Baseline,Economic,1994,5.080
Total,Total,1991-08-01,August 1991 Baseline,Economic,1995,11.451
Total,Total,1991-08-01,August 1991 Baseline,Economic,1996,17.352
Total,Total,1991-08-01,August 1991 Baseline,Legislative,1991,3.491
Total,Total,1991-08-01,August 1991 Baseline,Legislative,1992,15.974
Total,Total,1991-08-01,August 1991 Baseline,Legislative,1993,3.852
Total,Total,1991-08-01,August 1991 Baseline,Legislative,1994,2.643
Total,Total,1991-08-01,August 1991 Baseline,Legislative,1995,2.625
Total,Total,1991-08-01,August 1991 Baseline,Legislative,1996,2.392
Total,Total,1992-01-01,January 1992 Baseline,Economic,1992,-11.828
Total,Total,1992-01-01,January 1992 Baseline,Economic,1993,-27.150
Total,Total,1992-01-01,January 1992 Baseline,Economic,1994,-35.646
Total,Total,1992-01-01,January 1992 Baseline,Economic,1995,-40.698
Total,Total,1992-01-01,January 1992 Baseline,Economic,1996,-40.359
Total,Total,1992-01-01,January 1992 Baseline,Legislative,1992,10.968
Total,Total,1992-01-01,January 1992 Baseline,Legislative,1993,1.837
Total,Total,1992-01-01,January 1992 Baseline,Legislative,1994,1.606
Total,Total,1992-01-01,January 1992 Baseline,Legislative,1995,1.450
Total,Total,1992-01-01,January 1992 Baseline,Legislative,1996,1.154
Total,Total,1992-03-01,March 1992 Baseline,Economic,1992,0.000
Total,Total,1992-03-01,March 1992 Baseline,Economic,1993,0.000
Total,Total,1992-03-01,March 1992 Baseline,Economic,1994,0.000
Total,Total,1992-03-01,March 1992 Baseline,Economic,1995,0.000
Total,Total,1992-03-01,March 1992 Baseline,Economic,1996,0.000
Total,Total,1992-03-01,March 1992 Baseline,Economic,1997,0.000
Total,Total,1992-03-01,March 1992 Baseline,Legislative,1992,2.706
Total,Total,1992-03-01,March 1992 Baseline,Legislative,1993,0.600
Total,Total,1992-03-01,March 1992 Baseline,Legislative,1994,0.000
Total,Total,1992-03-01,March 1992 Baseline,Legislative,1995,0.000
Total,Total,1992-03-01,March 1992 Baseline,Legislative,1996,0.000
Total,Total,1992-03-01,March 1992 Baseline,Legislative,1997,0.000
Total,Total,1992-08-01,August 1992 Baseline,Economic,1992,0.110
Total,Total,1992-08-01,August 1992 Baseline,Economic,1993,-10.509
Total,Total,1992-08-01,August 1992 Baseline,Economic,1994,-13.731
Total,Total,1992-08-01,August 1992 Baseline,Economic,1995,-10.298
Total,Total,1992-08-01,August 1992 Baseline,Economic,1996,-9.859
Total,Total,1992-08-01,August 1992 Baseline,Economic,1997,-9.984
Total,Total,1992-08-01,August 1992 Baseline,Legislative,1992,-0.822
Total,Total,1992-08-01,August 1992 Baseline,Legislative,1993,3.652
Total,Total,1992-08-01,August 1992 Baseline,Legislative,1994,0.725
Total,Total,1992-08-01,August 1992 Baseline,Legislative,1995,0.388
Total,Total,1992-08-01,August 1992 Baseline,Legislative,1996,0.095
Total,Total,1992-08-01,August 1992 Baseline,Legislative,1997,0.036
Total,Total,1993-01-01,January 1993 Baseline,Economic,1992,0.000
Total,Total,1993-01-01,January 1993 Baseline,Economic,1993,-5.719
Total,Total,1993-01-01,January 1993 Baseline,Economic,1994,-12.800
Total,Total,1993-01-01,January 1993 Baseline,Economic,1995,-21.640
Total,Total,1993-01-01,January 1993 Baseline,Economic,1996,-33.904
Total,Total,1993-01-01,January 1993 Baseline,Economic,1997,-48.721
Total,Total,1993-01-01,January 1993 Baseline,Legislative,1992,0.000
Total,Total,1993-01-01,January 1993 Baseline,Legislative,1993,1.161
Total,Total,1993-01-01,January 1993 Baseline,Legislative,1994,1.701
Total,Total,1993-01-01,January 1993 Baseline,Legislative,1995,0.138
Total,Total,1993-01-01,January 1993 Baseline,Legislative,1996,0.466
Total,Total,1993-01-01,January 1993 Baseline,Legislative,1997,0.070
Total,Total,1993-03-01,March 1993 Baseline,Economic,1993,0.000
Total,Total,1993-03-01,March 1993 Baseline,Economic,1994,0.000
Total,Total,1993-03-01,March 1993 Baseline,Economic,1995,0.000
Total,Total,1993-03-01,March 1993 Baseline,Economic,1996,0.000
Total,Total,1993-03-01,March 1993 Baseline,Economic,1997,0.000
Total,Total,1993-03-01,March 1993 Baseline,Economic,1998,0.000
Total,Total,1993-03-01,March 1993 Baseline,Legislative,1993,0.000
Total,Total,1993-03-01,March 1993 Baseline,Legislative,1994,0.000
Total,Total,1993-03-01,March 1993 Baseline,Legislative,1995,0.000
Total,Total,1993-03-01,March 1993 Baseline,Legislative,1996,0.000
Total,Total,1993-03-01,March 1993 Baseline,Legislative,1997,0.000
Total,Total,1993-03-01,March 1993 Baseline,Legislative,1998,0.000
Total,Total,1993-09-01,September 1993 Baseline,Economic,1993,-1.697
Total,Total,1993-09-01,September 1993 Baseline,Economic,1994,-5.572
Total,Total,1993-09-01,September 1993 Baseline,Economic,1995,-6.853
Total,Total,1993-09-01,September 1993 Baseline,Economic,1996,-6.177
Total,Total,1993-09-01,September 1993 Baseline,Economic,1997,-5.410
Total,Total,1993-09-01,September 1993 Baseline,Economic,1998,-6.540
Total,Total,1993-09-01,September 1993 Baseline,Legislative,1993,3.644
Total,Total,1993-09-01,September 1993 Baseline,Legislative,1994,0.038
Total,Total,1993-09-01,September 1993 Baseline,Legislative,1995,-10.082
Total,Total,1993-09-01,September 1993 Baseline,Legislative,1996,-30.531
Total,Total,1993-09-01,September 1993 Baseline,Legislative,1997,-56.667
Total,Total,1993-09-01,September 1993 Baseline,Legislative,1998,-84.108
Total,Total,1994-01-01,January 1994 Baseline,Economic,1993,-1.226
Total,Total,1994-01-01,January 1994 Baseline,Economic,1994,-4.790
Total,Total,1994-01-01,January 1994 Baseline,Economic,1995,-5.699
Total,Total,1994-01-01,January 1994 Baseline,Economic,1996,-4.833
Total,Total,1994-01-01,January 1994 Baseline,Economic,1997,-5.030
Total,Total,1994-01-01,January 1994 Baseline,Economic,1998,-3.565
Total,Total,1994-01-01,January 1994 Baseline,Legislative,1993,0.000
Total,Total,1994-01-01,January 1994 Baseline,Legislative,1994,2.228
Total,Total,1994-01-01,January 1994 Baseline,Legislative,1995,0.031
Total,Total,1994-01-01,January 1994 Baseline,Legislative,1996,-0.138
Total,Total,1994-01-01,January 1994 Baseline,Legislative,1997,-0.267
Total,Total,1994-01-01,January 1994 Baseline,Legislative,1998,-0.075
Total,Total,1994-04-01,April 1994 Baseline,Economic,1994,0.000
Total,Total,1994-04-01,April 1994 Baseline,Economic,1995,0.000
Total,Total,1994-04-01,April 1994 Baseline,Economic,1996,0.000
Total,Total,1994-04-01,April 1994 Baseline,Economic,1997,0.000
Total,Total,1994-04-01,April 1994 Baseline,Economic,1998,0.000
Total,Total,1994-04-01,April 1994 Baseline,Economic,1999,0.000
Total,Total,1994-04-01,April 1994 Baseline,Legislative,1994,3.404
Total,Total,1994-04-01,April 1994 Baseline,Legislative,1995,4.856
Total,Total,1994-04-01,April 1994 Baseline,Legislative,1996,2.277
Total,Total,1994-04-01,April 1994 Baseline,Legislative,1997,0.426
Total,Total,1994-04-01,April 1994 Baseline,Legislative,1998,0.166
Total,Total,1994-04-01,April 1994 Baseline,Legislative,1999,0.171
Total,Total,1994-08-01,August 1994 Baseline,Economic,1994,1.529
Total,Total,1994-08-01,August 1994 Baseline,Economic,1995,12.369
Total,Total,1994-08-01,August 1994 Baseline,Economic,1996,14.288
Total,Total,1994-08-01,August 1994 Baseline,Economic,1997,10.563
Total,Total,1994-08-01,August 1994 Baseline,Economic,1998,12.114
Total,Total,1994-08-01,August 1994 Baseline,Economic,1999,17.373
Total,Total,1994-08-01,August 1994 Baseline,Legislative,1994,-0.399
Total,Total,1994-08-01,August 1994 Baseline,Legislative,1995,0.184
Total,Total,1994-08-01,August 1994 Baseline,Legislative,1996,0.123
Total,Total,1994-08-01,August 1994 Baseline,Legislative,1997,-0.096
Total,Total,1994-08-01,August 1994 Baseline,Legislative,1998,-0.147
Total,Total,1994-08-01,August 1994 Baseline,Legislative,1999,-0.012
Total,Total,1995-01-01,January 1995 Baseline,Economic,1994,-0.060
Total,Total,1995-01-01,January 1995 Baseline,Economic,1995,7.581
Total,Total,1995-01-01,January 1995 Baseline,Economic,1996,15.747
Total,Total,1995-01-01,January 1995 Baseline,Economic,1997,18.628
Total,Total,1995-01-01,January 1995 Baseline,Economic,1998,16.866
Total,Total,1995-01-01,January 1995 Baseline,Economic,1999,17.381
Total,Total,1995-01-01,January 1995 Baseline,Legislative,1994,0.660
Total,Total,1995-01-01,January 1995 Baseline,Legislative,1995,2.661
Total,Total,1995-01-01,January 1995 Baseline,Legislative,1996,0.839
Total,Total,1995-01-01,January 1995 Baseline,Legislative,1997,0.222
Total,Total,1995-01-01,January 1995 Baseline,Legislative,1998,0.123
Total,Total,1995-01-01,January 1995 Baseline,Legislative,1999,-0.139
Total,Total,1995-04-01,April 1995 Baseline,Economic,1995,0.000
Total,Total,1995-04-01,April 1995 Baseline,Economic,1996,0.000
Total,Total,1995-04-01,April 1995 Baseline,Economic,1997,0.000
Total,Total,1995-04-01,April 1995 Baseline,Economic,1998,0.000
Total,Total,1995-04-01,April 1995 Baseline,Economic,1999,0.000
Total,Total,1995-04-01,April 1995 Baseline,Economic,2000,0.000
Total,Total,1995-04-01,April 1995 Baseline,Legislative,1995,0.000
Total,Total,1995-04-01,April 1995 Baseline,Legislative,1996,0.000
Total,Total,1995-04-01,April 1995 Baseline,Legislative,1997,0.000
Total,Total,1995-04-01,April 1995 Baseline,Legislative,1998,0.000
Total,Total,1995-04-01,April 1995 Baseline,Legislative,1999,0.000
Total,Total,1995-04-01,April 1995 Baseline,Legislative,2000,0.000
Total,Total,1995-08-01,August 1995 Baseline,Economic,1995,-2.539
Total,Total,1995-08-01,August 1995 Baseline,Economic,1996,-15.947
Total,Total,1995-08-01,August 1995 Baseline,Economic,1997,-13.430
Total,Total,1995-08-01,August 1995 Baseline,Economic,1998,-6.763
Total,Total,1995-08-01,August 1995 Baseline,Economic,1999,-5.639
Total,Total,1995-08-01,August 1995 Baseline,Economic,2000,-7.185
Total,Total,1995-08-01,August 1995 Baseline,Legislative,1995,-0.051
Total,Total,1995-08-01,August 1995 Baseline,Legislative,1996,-1.822
Total,Total,1995-08-01,August 1995 Baseline,Legislative,1997,-0.991
Total,Total,1995-08-01,August 1995 Baseline,Legislative,1998,-0.675
Total,Total,1995-08-01,August 1995 Baseline,Legislative,1999,-0.732
Total,Total,1995-08-01,August 1995 Baseline,Legislative,2000,-0.786
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1995,0.000
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1996,-2.202
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1997,-11.340
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1998,-26.711
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,1999,-45.952
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Economic,2000,-65.614
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1995,0.000
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1996,-0.035
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1997,-0.060
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1998,-0.052
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,1999,-0.046
Total,Total,1995-12-01,December 1995 Baseline (Post-Legislation),Legislative,2000,-0.047
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Economic,1996,-3.708
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Economic,1997,-4.417
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Economic,1998,3.542
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Economic,1999,14.771
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Economic,2000,25.820
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Legislative,1996,-15.527
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Legislative,1997,-5.824
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Legislative,1998,-0.525
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Legislative,1999,-1.584
Total,Total,1996-05-01,May 1996 Baseline (Pre-Legislation),Legislative,2000,-1.729
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,1996,-0.917
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,1997,3.523
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,1998,-4.930
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,1999,-8.255
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,2000,-12.201
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,2001,-15.625
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,2002,-18.782
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,2003,-21.552
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,2004,-24.676
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,2005,-26.753
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Economic,2006,-28.297
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,1996,1.049
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,1997,-13.435
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,1998,-8.338
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,1999,-10.317
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,2000,-11.575
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,2001,-13.086
Total,Total,1997-01-01,January 1997 Baseline (Pre-Legislation),Legislative,2002,-16.749
